annee;n_dep;n_decl;surface;s_aop;s_gnac;s_igp;s_vsig;q_aop_b;q_aop_rg;q_aop_rs;q_vsi-vci;q_igp_b;q_igp_rg;q_igp_rs;q_igp_vci;q_vsig_b;q_vsig_rg;q_vsig_rs;q_gnac;qq_c;qq_nc;qq_total
2015;16 CHARENTE;3161;39 145;137;37 838;438;732;3 820;0;4 610;0;6 871;17 627;1 072;0;24 861;23 271;1 559;4 697 139;4 780 830;8 248;4 789 078
2015;17 CHARENTE-MAR;4232;38 783;963;35 614;1 084;1 122;33 256;0;37 545;0;26 756;39 382;4 946;0;74 960;38 144;4 105;4 591 089;4 850 182;12 430;4 862 613
2015;18 CHER;608;4 191;4 042;0;47;102;180 995;32 760;16 413;0;1 334;743;504;0;286;875;364;0;234 273;742;235 015
2015;19 CORREZE;344;139;0;0;73;65;0;0;0;0;475;1 034;461;0;13;1 341;11;0;3 335;0;3 335
2015;21 COTE D'OR;1556;9 528;9 414;0;29;85;165 485;216 106;1 490;134;474;355;66;0;1 029;2 248;84;0;387 472;4 576;392 048
2015;24 DORDOGNE;1625;11 476;10 640;14;239;582;177 811;241 280;45 868;1 849;2 926;10 415;3 050;0;5 145;14 339;2 076;1 602;506 360;12 286;518 646
2015;25 DOUBS;77;22;1;0;8;14;9;0;0;0;189;18;23;0;209;177;17;0;641;11;652
2015;26 DROME;1729;15 995;13 686;0;2 039;270;126 095;462 687;35 718;5 485;13 537;80 624;19 013;0;987;7 705;769;0;752 620;21 017;773 637
2015;28 EURE-ET-LOIR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;7
2015;2A CORSE SUD;46;887;737;0;57;93;4 108;13 496;9 014;0;561;1 629;2 032;0;329;1 891;994;0;34 054;950;35 004
2015;2B CORSE(HTE);285;4 908;2 007;0;2 653;248;14 098;24 122;49 876;0;24 382;44 551;170 087;0;6 443;4 227;6 555;0;344 342;8 924;353 266
2015;30 GARD;4017;52 498;19 302;0;30 395;2 802;65 073;670 057;167 431;6 525;371 023;1 040 615;698 763;0;42 637;163 671;59 313;0;3 285 109;84 293;3 369 402
2015;31 GARONNE(HTE);299;1 547;884;0;473;190;0;29 695;12 601;0;457;16 600;12 704;0;284;3 311;507;0;76 158;2 014;78 172
2015;32 GERS;1327;17 711;1 679;1 558;11 637;2 837;18 458;61 739;14 536;0;890 276;79 250;92 695;42;358 423;14 910;13 646;154 607;1 698 582;30 518;1 729 100
2015;33 GIRONDE;6889;113 645;111 471;0;251;1 923;556 417;4 535 671;222 595;83 430;6 067;15 167;3 723;0;11 498;90 760;24 649;0;5 549 977;122 290;5 672 267
2015;34 HERAULT;9102;81 124;15 498;0;59 455;6 171;139 724;380 748;105 159;0;1 053 320;2 261 139;934 909;776;119 405;369 872;56 135;0;5 421 186;131 692;5 552 878
2015;36 INDRE;354;557;298;0;88;171;6 798;3 833;2 461;0;3 018;1 625;544;0;1 105;2 546;680;0;22 611;241;22 852
2015;37 INDRE-ET-L;1162;9 726;9 051;0;94;581;159 881;224 249;39 829;958;1 571;2 202;881;0;9 793;7 380;10 303;0;457 047;9 334;466 382
2015;38 ISERE;1019;690;155;0;72;463;8 676;591;177;0;873;1 559;139;0;1 820;5 074;201;0;19 110;110;19 220
2015;39 JURA;962;2 149;1 976;0;9;164;53 454;16 849;2 635;0;182;69;0;0;3 005;2 827;235;0;79 256;996;80 253
2015;40 LANDES;385;1 503;318;343;633;209;2 541;8 639;6 546;0;31 539;6 706;10 237;0;24 007;1 846;1 875;31 839;125 775;3 674;129 449
