"","annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu"
"434",2013,"49","MAINE-ET-LOIRE",1050,19540,21356,28128,994432,73.9380974,64.65650726,917.7323532
"435",2013,"50","MANCHE",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"436",2013,"51","MARNE",5,23945,75,60,2043341,73.9380974,64.65650726,917.7323532
"437",2013,"52","HAUTE-LOIRE",37,105,603,664,5798,73.9380974,64.65650726,917.7323532
"438",2013,"53","MAYENNE",2,2,49,32,81,73.9380974,64.65650726,917.7323532
"439",2013,"54","MEURTHE-ET-MOSELLE",207,274,462,1050,3901,73.9380974,64.65650726,917.7323532
"440",2013,"55","MEUSE",17,48,309,78,1903,73.9380974,64.65650726,917.7323532
"441",2013,"56","MORBIHAN",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"442",2013,"57","MOSELLE",39,70,648,870,2690,73.9380974,64.65650726,917.7323532
"443",2013,"58","NIEVRE",53,1666,398,1046,81397,73.9380974,64.65650726,917.7323532
"444",2013,"59","NORD",1,1,15,20,35,73.9380974,64.65650726,917.7323532
"445",2013,"60","OISE",1,1,3,1,4,73.9380974,64.65650726,917.7323532
"446",2013,"61","ORNE",1,1,0,5,5,73.9380974,64.65650726,917.7323532
"447",2013,"62","PAS-DE-CALAIS",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"448",2013,"63","PUY-DE-DOME",290,635,208,4710,16934,73.9380974,64.65650726,917.7323532
"449",2013,"64","PYRENEES-ATLANTIQUES",283,2649,410,1920,78026,73.9380974,64.65650726,917.7323532
"450",2013,"65","HAUTE-VIENNE",107,341,128,1909,11529,73.9380974,64.65650726,917.7323532
"451",2013,"66","PYRENEES-ORIENTALES",761,23496,16965,25764,773826,73.9380974,64.65650726,917.7323532
"452",2013,"67","BAS-RHIN",48,6642,2161,181,441286,73.9380974,64.65650726,917.7323532
"453",2013,"68","HAUTES-PYRENEES",22,8965,837,104,553451,73.9380974,64.65650726,917.7323532
"454",2013,"69","RHONE",274,17075,1605,8083,761962,73.9380974,64.65650726,917.7323532
"455",2013,"70","HAUTE-SAONE",57,118,392,814,2821,73.9380974,64.65650726,917.7323532
"456",2013,"71","SAONE-ET-LOIRE",133,13181,1619,1672,642862,73.9380974,64.65650726,917.7323532
"457",2013,"72","SARTHE",80,225,778,1173,7798,73.9380974,64.65650726,917.7323532
"458",2013,"73","SAVOIE",111,1901,1777,3210,101940,73.9380974,64.65650726,917.7323532
"459",2013,"74","HAUTE-SAVOIE",119,268,5251,1826,12843,73.9380974,64.65650726,917.7323532
"460",2013,"75","PARIS",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"461",2013,"76","SEINE-MARITIME",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"462",2013,"77","SEINE-ET-MARNE",0,22,0,0,1901,73.9380974,64.65650726,917.7323532
"463",2013,"78","YVELINES",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"464",2013,"79","DEUX-SEVRES",375,1045,1683,6548,47591,73.9380974,64.65650726,917.7323532
"465",2013,"80","SOMME",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"466",2013,"81","TARN",1218,6876,16486,28706,309638,73.9380974,64.65650726,917.7323532
"467",2013,"82","TARN-ET-GARONNE",423,1555,437,13965,61430,73.9380974,64.65650726,917.7323532
"468",2013,"83","VAUCLUSE",459,28088,3282,20040,1358425,73.9380974,64.65650726,917.7323532
"469",2013,"84","VENDEE",1878,46924,19171,36798,1663943,73.9380974,64.65650726,917.7323532
"470",2013,"85","VAR",661,1400,3287,19454,61667,73.9380974,64.65650726,917.7323532
"471",2013,"86","VIENNE",608,1513,6648,9927,69273,73.9380974,64.65650726,917.7323532
"472",2013,"87","HAUTES-ALPES",1,7,0,14,313,73.9380974,64.65650726,917.7323532
"473",2013,"88","VOSGES",27,27,18,659,677,73.9380974,64.65650726,917.7323532
"474",2013,"89","YONNE",73,7283,373,1267,294480,73.9380974,64.65650726,917.7323532
"475",2013,"90","TERRITOIRE DE BELFORT",0,1,0,0,5,73.9380974,64.65650726,917.7323532
"476",2013,"91","ESSONNE",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"477",2013,"92","HAUTS-DE-SEINE",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"478",2013,"93","SEINE-SAINT-DENIS",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"479",2013,"94","VAL-D'OISE",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"480",2013,"95","VAL-DE-MARNE",0,0,0,0,0,73.9380974,64.65650726,917.7323532
"481",2014,"01","AIN",216,771,3427,9200,42031,82.30811577,70.88129316,929.0361325
"482",2014,"02","AISNE",7,2499,388,15,214779,82.30811577,70.88129316,929.0361325
"483",2014,"03","ALLIER",100,643,641,2771,27420,82.30811577,70.88129316,929.0361325
"484",2014,"04","ALPES-DE-HAUTE-PROVENCE",87,688,469,6886,46905,82.30811577,70.88129316,929.0361325
"485",2014,"05","HAUTE-MARNE",31,130,48,346,4960,82.30811577,70.88129316,929.0361325
"486",2014,"06","ALPES-MARITIMES",11,85,24,318,2786,82.30811577,70.88129316,929.0361325
"487",2014,"07","ARDECHE",755,10564,13946,21653,622520,82.30811577,70.88129316,929.0361325
"488",2014,"08","ARDENNES",1,1,20,5,24,82.30811577,70.88129316,929.0361325
"489",2014,"09","ARIEGE",50,103,3,278,2305,82.30811577,70.88129316,929.0361325
"490",2014,"10","AUBE",25,7187,358,663,648124,82.30811577,70.88129316,929.0361325
"491",2014,"11","AUDE",4360,64774,42409,233365,3621870,82.30811577,70.88129316,929.0361325
"492",2014,"12","AVEYRON",293,616,152,3971,17890,82.30811577,70.88129316,929.0361325
"493",2014,"13","BOUCHES-DU-RHONE",331,10043,7865,20541,676055,82.30811577,70.88129316,929.0361325
"494",2014,"14","CALVADOS",1,6,1,0,210,82.30811577,70.88129316,929.0361325
"495",2014,"15","CANTAL",2,10,5,42,280,82.30811577,70.88129316,929.0361325
"496",2014,"16","CHARENTE",801,39208,8925,25672,4307967,82.30811577,70.88129316,929.0361325
"497",2014,"17","CHARENTE-MARITIME",1072,38742,34138,37626,4298342,82.30811577,70.88129316,929.0361325
"498",2014,"18","CHER",98,4139,570,1566,251222,82.30811577,70.88129316,929.0361325
"499",2014,"19","CORREZE",111,179,28,2021,4625,82.30811577,70.88129316,929.0361325
"500",2014,"2A","CORSE-DU-SUD",76,842,310,3367,34489,82.30811577,70.88129316,929.0361325
"501",2014,"2B","HAUT-RHIN",290,5103,4814,6946,328857,82.30811577,70.88129316,929.0361325
"502",2014,"21","COTE-D'OR",75,9530,935,1429,420727,82.30811577,70.88129316,929.0361325
"503",2014,"24","DORDOGNE",692,11722,4672,15954,524459,82.30811577,70.88129316,929.0361325
"504",2014,"25","DOUBS",18,27,324,321,897,82.30811577,70.88129316,929.0361325
"505",2014,"26","DROME",309,16130,852,15228,854204,82.30811577,70.88129316,929.0361325
"506",2014,"28","EURE-ET-LOIR",1,1,0,6,6,82.30811577,70.88129316,929.0361325
"507",2014,"30","GARD",3299,52804,35823,281681,3531719,82.30811577,70.88129316,929.0361325
"508",2014,"31","HAUTE-CORSE",156,1551,286,5216,84052,82.30811577,70.88129316,929.0361325
"509",2014,"32","GERS",3245,18420,256848,34824,1558565,82.30811577,70.88129316,929.0361325
"510",2014,"33","GIRONDE",2024,114724,11818,133007,5642353,82.30811577,70.88129316,929.0361325
"511",2014,"34","HERAULT",6205,81033,67957,367227,4727618,82.30811577,70.88129316,929.0361325
"512",2014,"36","INDRE",176,564,1641,4231,26601,82.30811577,70.88129316,929.0361325
"513",2014,"37","INDRE-ET-LOIRE",577,9862,10364,18675,463793,82.30811577,70.88129316,929.0361325
"514",2014,"38","ISERE",273,495,2070,4763,17658,82.30811577,70.88129316,929.0361325
"515",2014,"39","JURA",156,2210,2421,1979,75601,82.30811577,70.88129316,929.0361325
"516",2014,"40","LANDES",181,1633,9143,1943,109235,82.30811577,70.88129316,929.0361325
"517",2014,"41","LOIRET",733,6489,10355,19465,333597,82.30811577,70.88129316,929.0361325
"518",2014,"42","LOIR-ET-CHER",218,1192,1866,4724,38569,82.30811577,70.88129316,929.0361325
"519",2014,"43","HAUTE-GARONNE",35,35,44,508,552,82.30811577,70.88129316,929.0361325
"520",2014,"44","LOIRE",1657,11788,62591,47916,640470,82.30811577,70.88129316,929.0361325
"521",2014,"45","LOIRE-ATLANTIQUE",18,187,96,472,6399,82.30811577,70.88129316,929.0361325
"522",2014,"46","LOT",686,4993,370,47657,311201,82.30811577,70.88129316,929.0361325
"523",2014,"47","LOT-ET-GARONNE",638,6040,12098,23023,358806,82.30811577,70.88129316,929.0361325
"524",2014,"48","LOZERE",2,13,0,39,333,82.30811577,70.88129316,929.0361325
"525",2014,"49","MAINE-ET-LOIRE",1063,19378,22658,30297,1049359,82.30811577,70.88129316,929.0361325
"526",2014,"51","MARNE",3,23958,75,53,2232004,82.30811577,70.88129316,929.0361325
"527",2014,"52","HAUTE-LOIRE",35,108,699,616,6853,82.30811577,70.88129316,929.0361325
"528",2014,"53","MAYENNE",2,2,47,29,76,82.30811577,70.88129316,929.0361325
"529",2014,"54","MEURTHE-ET-MOSELLE",51,196,514,867,5399,82.30811577,70.88129316,929.0361325
"530",2014,"55","MEUSE",9,42,366,110,2441,82.30811577,70.88129316,929.0361325
"531",2014,"57","MOSELLE",96,189,1410,591,4415,82.30811577,70.88129316,929.0361325
"532",2014,"58","NIEVRE",41,1543,494,1063,91087,82.30811577,70.88129316,929.0361325
"533",2014,"59","NORD",1,1,23,14,37,82.30811577,70.88129316,929.0361325
"534",2014,"60","OISE",1,1,2,0,2,82.30811577,70.88129316,929.0361325
"535",2014,"63","PUY-DE-DOME",312,797,331,4731,17948,82.30811577,70.88129316,929.0361325
"536",2014,"64","PYRENEES-ATLANTIQUES",247,2588,749,2477,92427,82.30811577,70.88129316,929.0361325
"537",2014,"65","HAUTE-VIENNE",116,306,172,1786,10313,82.30811577,70.88129316,929.0361325
"538",2014,"66","PYRENEES-ORIENTALES",1385,23640,24024,24310,826570,82.30811577,70.88129316,929.0361325
"539",2014,"67","BAS-RHIN",69,6662,2227,129,455951,82.30811577,70.88129316,929.0361325
"540",2014,"68","HAUTES-PYRENEES",25,8978,1093,68,583113,82.30811577,70.88129316,929.0361325
"541",2014,"69","RHONE",297,16829,2077,10916,849496,82.30811577,70.88129316,929.0361325
"542",2014,"70","HAUTE-SAONE",54,119,589,765,3733,82.30811577,70.88129316,929.0361325
"543",2014,"71","SAONE-ET-LOIRE",95,12923,2523,1711,774843,82.30811577,70.88129316,929.0361325
"544",2014,"72","SARTHE",50,182,520,826,5844,82.30811577,70.88129316,929.0361325
"545",2014,"73","SAVOIE",127,1898,2656,2650,106863,82.30811577,70.88129316,929.0361325
"546",2014,"74","HAUTE-SAVOIE",91,249,3606,2080,12705,82.30811577,70.88129316,929.0361325
"547",2014,"77","SEINE-ET-MARNE",0,22,0,0,1829,82.30811577,70.88129316,929.0361325
"548",2014,"79","DEUX-SEVRES",226,918,720,6371,51255,82.30811577,70.88129316,929.0361325
"549",2014,"81","TARN",1010,6576,29502,36867,397101,82.30811577,70.88129316,929.0361325
"550",2014,"82","TARN-ET-GARONNE",485,1661,316,15593,85080,82.30811577,70.88129316,929.0361325
"551",2014,"83","VAUCLUSE",457,27828,2856,24360,1568625,82.30811577,70.88129316,929.0361325
"552",2014,"84","VENDEE",1792,46584,21169,100206,2403997,82.30811577,70.88129316,929.0361325
"553",2014,"85","VAR",631,1336,3583,17941,56744,82.30811577,70.88129316,929.0361325
"554",2014,"86","VIENNE",493,1438,1846,11479,68505,82.30811577,70.88129316,929.0361325
"555",2014,"87","HAUTES-ALPES",1,7,2,16,363,82.30811577,70.88129316,929.0361325
"556",2014,"88","VOSGES",31,31,12,427,439,82.30811577,70.88129316,929.0361325
"557",2014,"89","YONNE",63,7430,576,1756,447947,82.30811577,70.88129316,929.0361325
"558",2014,"90","TERRITOIRE DE BELFORT",0,1,0,0,8,82.30811577,70.88129316,929.0361325
"559",2015,"01","AIN",189,758,2977,7520,39233,88.00826923,76.37153846,935.9
"560",2015,"02","AISNE",5,2441,349,8,179477,88.00826923,76.37153846,935.9
"561",2015,"03","ALLIER",86,647,548,2233,27103,88.00826923,76.37153846,935.9
"562",2015,"04","ALPES-DE-HAUTE-PROVENCE",72,674,213,4593,41733,88.00826923,76.37153846,935.9
"563",2015,"05","HAUTE-MARNE",15,116,88,233,4456,88.00826923,76.37153846,935.9
"564",2015,"06","ALPES-MARITIMES",6,86,7,84,2245,88.00826923,76.37153846,935.9
"565",2015,"07","ARDECHE",640,10321,8601,11671,520944,88.00826923,76.37153846,935.9
"566",2015,"08","ARDENNES",0,0,3,2,5,88.00826923,76.37153846,935.9
"567",2015,"09","ARIEGE",15,67,16,412,2544,88.00826923,76.37153846,935.9
"568",2015,"10","AUBE",16,6968,204,393,514671,88.00826923,76.37153846,935.9
"569",2015,"11","AUDE",3694,67810,63675,244488,3884761,88.00826923,76.37153846,935.9
"570",2015,"12","AVEYRON",83,404,97,1414,14223,88.00826923,76.37153846,935.9
"571",2015,"13","BOUCHES-DU-RHONE",275,10151,10380,9870,622859,88.00826923,76.37153846,935.9
"572",2015,"14","CALVADOS",0,5,1,0,183,88.00826923,76.37153846,935.9
"573",2015,"15","CANTAL",1,8,5,23,212,88.00826923,76.37153846,935.9
