"annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu","qk_prod","ql_prod"
2013,"41","LOIRET",743,6552,11237,22300,345089,73.9380974,64.65650726,917.7323532,87337.8,89540.7
2013,"42","LOIR-ET-CHER",169,924,1098,3414,28306,73.9380974,64.65650726,917.7323532,523674.8,160757.1
2013,"43","HAUTE-GARONNE",37,37,29,486,515,73.9380974,64.65650726,917.7323532,92119.7,113524.5
2013,"44","LOIRE",1319,11967,40556,44821,642999,73.9380974,64.65650726,917.7323532,55465.3,32277.1
2013,"45","LOIRE-ATLANTIQUE",23,203,109,602,5771,73.9380974,64.65650726,917.7323532,576023.7,272352.4
2013,"46","LOT",611,5055,130,12051,146451,73.9380974,64.65650726,917.7323532,245181.4,75099.1
2013,"47","LOT-ET-GARONNE",612,6241,6287,14099,279431,73.9380974,64.65650726,917.7323532,1157820.2,317626.8
2013,"48","LOZERE",2,11,21,221,461,73.9380974,64.65650726,917.7323532,1017,6336.5
2013,"49","MAINE-ET-LOIRE",1050,19540,21356,28128,994432,73.9380974,64.65650726,917.7323532,781541.9,329184.5
2013,"51","MARNE",5,23945,75,60,2043341,73.9380974,64.65650726,917.7323532,1918995.6,980459.5
2013,"52","HAUTE-LOIRE",37,105,603,664,5798,73.9380974,64.65650726,917.7323532,2022.2,30942.2
2013,"53","MAYENNE",2,2,49,32,81,73.9380974,64.65650726,917.7323532,12166.3,88857.6
2013,"54","MEURTHE-ET-MOSELLE",207,274,462,1050,3901,73.9380974,64.65650726,917.7323532,17936.7,108543.8
2013,"55","MEUSE",17,48,309,78,1903,73.9380974,64.65650726,917.7323532,19088.7,166383.3
2013,"57","MOSELLE",39,70,648,870,2690,73.9380974,64.65650726,917.7323532,14887.1,150503.6
2013,"58","NIEVRE",53,1666,398,1046,81397,73.9380974,64.65650726,917.7323532,6384.4,8170.8
2013,"59","NORD",1,1,15,20,35,73.9380974,64.65650726,917.7323532,273160.8,109635.1
2013,"60","OISE",1,1,3,1,4,73.9380974,64.65650726,917.7323532,70268.5,273125.5
2013,"63","PUY-DE-DOME",290,635,208,4710,16934,73.9380974,64.65650726,917.7323532,29022.1,54767.5
2013,"64","PYRENEES-ATLANTIQUES",283,2649,410,1920,78026,73.9380974,64.65650726,917.7323532,241973.2,139381.5
2013,"65","HAUTE-VIENNE",107,341,128,1909,11529,73.9380974,64.65650726,917.7323532,6792.6,22488.1
2013,"66","PYRENEES-ORIENTALES",761,23496,16965,25764,773826,73.9380974,64.65650726,917.7323532,585128.1,136080
2013,"67","BAS-RHIN",48,6642,2161,181,441286,73.9380974,64.65650726,917.7323532,169580.1,80963.9
2013,"68","HAUTES-PYRENEES",22,8965,837,104,553451,73.9380974,64.65650726,917.7323532,45684.5,29196.1
2013,"69","RHONE",274,17075,1605,8083,761962,73.9380974,64.65650726,917.7323532,529403.6,132184.1
2013,"70","HAUTE-SAONE",57,118,392,814,2821,73.9380974,64.65650726,917.7323532,18409.6,77147.6
2013,"71","SAONE-ET-LOIRE",133,13181,1619,1672,642862,73.9380974,64.65650726,917.7323532,502879.6,195251.7
2013,"72","SARTHE",80,225,778,1173,7798,73.9380974,64.65650726,917.7323532,127973.7,129946.4
2013,"73","SAVOIE",111,1901,1777,3210,101940,73.9380974,64.65650726,917.7323532,122257.3,24291.7
2013,"74","HAUTE-SAVOIE",119,268,5251,1826,12843,73.9380974,64.65650726,917.7323532,45238,14548.8
2013,"77","SEINE-ET-MARNE",0,22,0,0,1901,73.9380974,64.65650726,917.7323532,28097.1,70471.1
2013,"79","DEUX-SEVRES",375,1045,1683,6548,47591,73.9380974,64.65650726,917.7323532,969496.6,370387.2
2013,"81","TARN",1218,6876,16486,28706,309638,73.9380974,64.65650726,917.7323532,209069.3,130368.7
2013,"82","TARN-ET-GARONNE",423,1555,437,13965,61430,73.9380974,64.65650726,917.7323532,456517.9,158281.9
2013,"83","VAUCLUSE",459,28088,3282,20040,1358425,73.9380974,64.65650726,917.7323532,2544806.6,611302.3
2013,"84","VENDEE",1878,46924,19171,36798,1663943,73.9380974,64.65650726,917.7323532,64239.6,138044.8
2013,"85","VAR",661,1400,3287,19454,61667,73.9380974,64.65650726,917.7323532,1053741.2,227139.4
2013,"86","VIENNE",608,1513,6648,9927,69273,73.9380974,64.65650726,917.7323532,75756.6,338964
2013,"87","HAUTES-ALPES",1,7,0,14,313,73.9380974,64.65650726,917.7323532,75874.5,19127.7
2013,"88","VOSGES",27,27,18,659,677,73.9380974,64.65650726,917.7323532,5086.5,28388.3
2013,"89","YONNE",73,7283,373,1267,294480,73.9380974,64.65650726,917.7323532,365374.7,247778.3
2014,"01","AIN",216,771,3427,9200,42031,82.30811577,70.88129316,929.0361325,187202.7,116059.9
2014,"02","AISNE",7,2499,388,15,214779,82.30811577,70.88129316,929.0361325,713416.7,324161.9
2014,"03","ALLIER",100,643,641,2771,27420,82.30811577,70.88129316,929.0361325,56054.3,91592.9
2014,"04","ALPES-DE-HAUTE-PROVENCE",87,688,469,6886,46905,82.30811577,70.88129316,929.0361325,85243.3,63319.7
2014,"05","HAUTE-MARNE",31,130,48,346,4960,82.30811577,70.88129316,929.0361325,4629.2,110453.6
2014,"06","ALPES-MARITIMES",11,85,24,318,2786,82.30811577,70.88129316,929.0361325,27965.6,10597.4
2014,"07","ARDECHE",755,10564,13946,21653,622520,82.30811577,70.88129316,929.0361325,162611.1,43799.9
2014,"09","ARIEGE",50,103,3,278,2305,82.30811577,70.88129316,929.0361325,10746.6,39496.1
2014,"10","AUBE",25,7187,358,663,648124,82.30811577,70.88129316,929.0361325,909456.2,679812.5
2014,"11","AUDE",4360,64774,42409,233365,3621870,82.30811577,70.88129316,929.0361325,1533689.8,777937.3
2014,"12","AVEYRON",293,616,152,3971,17890,82.30811577,70.88129316,929.0361325,61043.5,108056.2
2014,"13","BOUCHES-DU-RHONE",331,10043,7865,20541,676055,82.30811577,70.88129316,929.0361325,483909.6,128990.1
2014,"14","CALVADOS",1,6,1,0,210,82.30811577,70.88129316,929.0361325,32041.8,58137.8
2014,"15","CANTAL",2,10,5,42,280,82.30811577,70.88129316,929.0361325,2616.4,23892.4
2014,"16","CHARENTE",801,39208,8925,25672,4307967,82.30811577,70.88129316,929.0361325,2973584.3,988847.1
2014,"17","CHARENTE-MARITIME",1072,38742,34138,37626,4298342,82.30811577,70.88129316,929.0361325,1613286,629125.3
2014,"18","CHER",98,4139,570,1566,251222,82.30811577,70.88129316,929.0361325,562565.2,424026.2
2014,"19","CORREZE",111,179,28,2021,4625,82.30811577,70.88129316,929.0361325,105696.2,30909.1
2014,"21","COTE-D'OR",75,9530,935,1429,420727,82.30811577,70.88129316,929.0361325,506113.5,490561.4
2014,"24","DORDOGNE",692,11722,4672,15954,524459,82.30811577,70.88129316,929.0361325,519871.7,227134.7
2014,"25","DOUBS",18,27,324,321,897,82.30811577,70.88129316,929.0361325,5907.3,53021.3
2014,"26","DROME",309,16130,852,15228,854204,82.30811577,70.88129316,929.0361325,676610.4,182646.4
2014,"28","EURE-ET-LOIR",1,1,0,6,6,82.30811577,70.88129316,929.0361325,170791.9,234860.6
2014,"2A","CORSE-DU-SUD",76,842,310,3367,34489,82.30811577,70.88129316,929.0361325,57793.5,6976.9
2014,"2B","HAUT-RHIN",290,5103,4814,6946,328857,82.30811577,70.88129316,929.0361325,449443.5,282548.2
2014,"30","GARD",3299,52804,35823,281681,3531719,82.30811577,70.88129316,929.0361325,2539214.4,566917.7
2014,"31","HAUTE-CORSE",156,1551,286,5216,84052,82.30811577,70.88129316,929.0361325,252133.7,100411.6
2014,"32","GERS",3245,18420,256848,34824,1558565,82.30811577,70.88129316,929.0361325,1604813.1,391231.6
2014,"33","GIRONDE",2024,114724,11818,133007,5642353,82.30811577,70.88129316,929.0361325,5690871,1760148.3
2014,"34","HERAULT",6205,81033,67957,367227,4727618,82.30811577,70.88129316,929.0361325,1854982.7,711870.5
2014,"36","INDRE",176,564,1641,4231,26601,82.30811577,70.88129316,929.0361325,19983,150252.1
2014,"37","INDRE-ET-LOIRE",577,9862,10364,18675,463793,82.30811577,70.88129316,929.0361325,456380,310995.7
2014,"38","ISERE",273,495,2070,4763,17658,82.30811577,70.88129316,929.0361325,180355.2,48701.1
2014,"39","JURA",156,2210,2421,1979,75601,82.30811577,70.88129316,929.0361325,101813,65973.5
2014,"40","LANDES",181,1633,9143,1943,109235,82.30811577,70.88129316,929.0361325,188061.5,196801.8
2014,"41","LOIRET",733,6489,10355,19465,333597,82.30811577,70.88129316,929.0361325,111816.5,104232.8
2014,"42","LOIR-ET-CHER",218,1192,1866,4724,38569,82.30811577,70.88129316,929.0361325,799731.6,225449.2
2014,"43","HAUTE-GARONNE",35,35,44,508,552,82.30811577,70.88129316,929.0361325,89701.4,97107.9
2014,"44","LOIRE",1657,11788,62591,47916,640470,82.30811577,70.88129316,929.0361325,70523.2,34889.5
2014,"45","LOIRE-ATLANTIQUE",18,187,96,472,6399,82.30811577,70.88129316,929.0361325,730306.7,373566.8
2014,"46","LOT",686,4993,370,47657,311201,82.30811577,70.88129316,929.0361325,291922.7,100087.5
2014,"47","LOT-ET-GARONNE",638,6040,12098,23023,358806,82.30811577,70.88129316,929.0361325,1329992.2,328791.2
2014,"48","LOZERE",2,13,0,39,333,82.30811577,70.88129316,929.0361325,1155.7,9602.1
2014,"49","MAINE-ET-LOIRE",1063,19378,22658,30297,1049359,82.30811577,70.88129316,929.0361325,1012842.2,484570.3
2014,"51","MARNE",3,23958,75,53,2232004,82.30811577,70.88129316,929.0361325,1848307,1074791.9
2014,"52","HAUTE-LOIRE",35,108,699,616,6853,82.30811577,70.88129316,929.0361325,2894.5,38436
2014,"53","MAYENNE",2,2,47,29,76,82.30811577,70.88129316,929.0361325,12460.5,100649.3
2014,"54","MEURTHE-ET-MOSELLE",51,196,514,867,5399,82.30811577,70.88129316,929.0361325,24209.4,113219.6
2014,"55","MEUSE",9,42,366,110,2441,82.30811577,70.88129316,929.0361325,20517.6,184505.9
2014,"57","MOSELLE",96,189,1410,591,4415,82.30811577,70.88129316,929.0361325,15760.9,164521.5
2014,"58","NIEVRE",41,1543,494,1063,91087,82.30811577,70.88129316,929.0361325,8018.6,6313.8
2014,"59","NORD",1,1,23,14,37,82.30811577,70.88129316,929.0361325,798562.7,117025.3
2014,"60","OISE",1,1,2,0,2,82.30811577,70.88129316,929.0361325,116361.8,312380.6
2014,"63","PUY-DE-DOME",312,797,331,4731,17948,82.30811577,70.88129316,929.0361325,39809.4,79565.5
2014,"64","PYRENEES-ATLANTIQUES",247,2588,749,2477,92427,82.30811577,70.88129316,929.0361325,328142.3,162762.7
2014,"65","HAUTE-VIENNE",116,306,172,1786,10313,82.30811577,70.88129316,929.0361325,10151.1,60000.8
2014,"66","PYRENEES-ORIENTALES",1385,23640,24024,24310,826570,82.30811577,70.88129316,929.0361325,415912.3,161701.9
2014,"67","BAS-RHIN",69,6662,2227,129,455951,82.30811577,70.88129316,929.0361325,163799.2,92405.6
2014,"68","HAUTES-PYRENEES",25,8978,1093,68,583113,82.30811577,70.88129316,929.0361325,40759.5,40498
2014,"69","RHONE",297,16829,2077,10916,849496,82.30811577,70.88129316,929.0361325,720594.9,219592.6
2014,"70","HAUTE-SAONE",54,119,589,765,3733,82.30811577,70.88129316,929.0361325,17668.3,83923.3
2014,"71","SAONE-ET-LOIRE",95,12923,2523,1711,774843,82.30811577,70.88129316,929.0361325,392847,286732.8
2014,"72","SARTHE",50,182,520,826,5844,82.30811577,70.88129316,929.0361325,101070.7,125646.7
2014,"73","SAVOIE",127,1898,2656,2650,106863,82.30811577,70.88129316,929.0361325,138471.4,27900.4
2014,"74","HAUTE-SAVOIE",91,249,3606,2080,12705,82.30811577,70.88129316,929.0361325,48691.8,19470.2
2014,"77","SEINE-ET-MARNE",0,22,0,0,1829,82.30811577,70.88129316,929.0361325,29067.6,80953.6
2014,"79","DEUX-SEVRES",226,918,720,6371,51255,82.30811577,70.88129316,929.0361325,975592,396023.7
